plot;a1;;a2;;a3;;a4;;a5;;a6;;a7;;a8;;a9;;a10;;a15;;a14;;a13;;a12;;a11;;a16;;a17;;a18;;a19;;a20;;a25;;a24;;a23;;a22;;a21;;b1;;b2;;b3;;b4;;b5;;b10;;b9;;b8;;b7;;b6;;b11;;b12;;b13;;b14;;b15;;b20;;b19;;b18;;b17;;b16;;b21;;b22;;b23;;b24;;b25;;c1;;c2;;c3;;c4;;c5;;c10;;c9;;c8;;c7;;c6;;c11;;c12;;c13;;c14;;c15;;c20;;c19;;c18;;c17;;c16;;c21;;c22;;c23;;c24;;c25;;d1;;d2;;d3;;d4;;d5;;d10;;d9;;d8;;d7;;d6;;d11;;d12;;d13;;d14;;d15;;d20;;d19;;d18;;d17;;d16;;d21;;d22;;d23;;d24;;d25;;e1;;e2;;e3;;e4;;e5;;e10;;e9;;e8;;e7;;e6;;e11;;e12;;e13;;e14;;e15;;e20;;e19;;e18;;e17;;e16;;e21;;e22;;e23;;e24;;e25;;f1;;f2;;f3;;f4;;f5;;f10;;f9;;f8;;f7;;f6;;f11;;f12;;f13;;f14;;f15;;f20;;f19;;f18;;f17;;f16;;f21;;f22;;f23;;f24;;f25;
TMS;94213511;;94213522;;94213515;;94213514;;94213523;;94213513;;94217048;;94217047;;94217049;;94213524;;94213521;;94217046;;94213549;;94217050;;94213512;;94213546;;94213550;;94213547;;94213548;;94213525;;94217057;;94217056;;94217060;;94217058;;94217059;;94217027;;94217073;;94217074;;94217028;;94217031;;94217035;;94217071;;94217069;;94217067;;94217026;;94217038;;94217066;;94217068;;94217072;;94217032;;94217033;;94217029;;94217070;;94217075;;94217030;;94217036;;94217039;;94217040;;94217037;;94217034;;94212887;;94217006;;94217002;;94217004;;94217012;;94217003;;94217915;;94217013;;94217014;;94212886;;94212889;;94217009;;94217010;;94217007;;94212890;;94217001;;94217011;;94217008;;94217005;;94212888;;94212894;;94212895;;94212892;;94212893;;94212891;;94217062;;94212853;;94212855;;94213539;;94217080;;94212860;;94217077;;94212859;;94213540;;94217064;;94217065;;94213537;;94212858;;94217079;;94212856;;94213538;;94217078;;94212857;;94213536;;94217061;;94217063;;94212854;;94212851;;94212852;;94217076;;94213545;;94212882;;94217045;;94217041;;94217044;;94217024;;94212868;;94212869;;94212866;;94213544;;94213541;;94212867;;94217022;;94212870;;94217021;;94217023;;94217043;;94217042;;94217025;;94213543;;94213542;;94212884;;94212881;;94212883;;94212885;;94212875;;94217017;;94217052;;94217055;;94212872;;94213501;;94217020;;94213503;;94213504;;94212871;;94212874;;94217054;;94217051;;94217018;;94213505;;94213502;;94217016;;94217019;;94217053;;94212873;;94213526;;94213527;;94213528;;94213530;;94213529;
medianH;9;;17;;36;;11;;9;;7;;6;;7;;29;;11;;26;;10;;8;;10;;12;;5;;9;;7;;11;;6;;10;;8;;13;;12;;7;;15;;9;;8;;6;;5;;11;;14;;10;;12;;14;;13;;13;;19;;17;;14;;14;;8;;42;;11;;16;;9;;8;;14;;14;;16;;8;;6;;16;;9;;18;;17;;11;;15;;25;;12;;18;;27;;40;;22;;11;;12;;19;;10;;13;;8;;11;;8;;12;;13;;8;;6;;16;;29;;12;;11;;10;;13;;9;;15;;10;;18;;20;;18;;11;;10;;15;;29;;7;;10;;50;;13;;5;;16;;28;;7;;10;;13;;14;;18;;9;;6;;10;;10;;15;;15;;12;;11;;11;;6;;8;;5;;9;;3;;9;;7;;5;;3;;6;;4;;7;;8;;14;;23;;8;;6;;7;;13;;10;;15;;13;;5;;9;;9;;10;;25;;30;;9;;8;;3;;10;;25;;8;;8;;30;;11;
;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS;HEIGHT;FLOWERS
BETNAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;1;24;1;37;1;27;0;;;;;27;0;27;0;;;29;0;32;0;49;0;34;1;19;0;36;1;34;0;24;0;17;0;;;;;;;;;;;;;;;20;0;46;1;22;0;25;0;;;13.5;0;15;0;21;0;30;0;34;0;33;0;19;0;;;12.7;0;17;0;39;1;;;10.5;0;28;0;25;0;7.5;0;28;1;38;0;13.5;0;19;0;29;1;17;0;28;0;15;0;;;13;1;23;1;25;0;24;0;31;0;35;1;13;0;7;0;15;0;9;0;12;1;7;0;10.5;0;16;0;7;1;;;8;0;5;0;13;1;;;24;1;37;0;;;;;19;0;;;14;0;19;0;18;0;;;;;9;0;12;0;25;0;30;0;19;0;12;0;;;50;0;34;0;17;0;9;0;45;1;34;0
BETNAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;1;36;1;29;0;;;;;15;1;36;0;;;25;0;43;0;39;0;42;0;;;;;32;0;;;;;;;;;;;;;;;;;;;24;0;39;1;26;1;23;1;;;13.5;0;19;0;27;0;11.5;0;35;1;27;0;44;0;;;22;0;18;0;26;1;;;17;0;39;0;17.5;0;6.8;0;26;0;19;0;10.3;0;27;0;29;0;12;0;16;0;;;;;39;0;27;0;24;0;30;1;9.5;0;24;1;13;0;;;10;1;11;0;11;0;6.5;0;12;0;12;0;5;0;;;12;0;7;0;11.5;0;;;19;0;28;0;;;;;;;;;;;22;0;16;0;;;;;12;0;8.3;0;22;0;22;0;;;40;0;;;43;0;41;0;;;6;0;21;0;20;0
BETNAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;1;23;0;33;0;;;;;26;0;28;0;;;31;0;38;0;36;0;34;1;;;;;22;0;;;;;;;;;;;;;;;;;;;17;0;;;23;1;15;1;;;;;5.5;0;28;0;;;42;0;32;0;24;0;;;20.5;0;22;0;17;1;;;21;0;38;0;24;0;6;0;31;1;32;0;;;18;0;41;0;24;1;28.5;0;;;;;15;0;14;0;26;0;16;0;23;1;13;0;;;;;14;0;9;0;7.5;0;6.5;1;17;1;8;1;6;0;;;11;0;;;10;0;;;30;1;19;0;;;;;;;;;;;31;1;18;1;;;;;8.5;0;9.6;0;33;0;41;0;;;;;;;;;36;0;;;18;0;34;0;;
BETNAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;1;;;28;0;;;;;27;1;24;0;;;24;0;37;1;17;0;;;;;;;24;0;;;;;;;;;;;;;;;;;;;32;0;;;28;0;;;;;;;19;0;;;;;;;35;0;19;0;;;;;;;;;;;15;0;;;9.5;0;7.4;0;23.5;0;29;0;;;;;;;21;0;26;0;;;;;16.5;1;;;;;;;;;;;;;;;15;1;12;1;6.5;0;;;16;0;12;1;8;1;;;15;1;;;;;;;14;0;;;;;;;;;;;;;19;0;;;;;;;8.3;0;;;27;0;32;0;;;;;;;;;34;0;;;;;55;0;;
BISVIV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;;;;;;;;;;;;;8;0;10.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.8;0;;;;;;;;;;;;;;;;;;;;;6.3;0;;;;;;;;;;;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0;7.3;0;7.5;0;7.4;0;;;;;;;8.2;0;3.2;0;6.4;0;;;;;6.2;0;;;;
BISVIV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.4;0;;;;;;;;;;;;;9.5;1;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.8;0;;;;;;;;;;;;;;;;;;;;;5.9;0;;;;;;;;;;;4.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.5;0;3.6;0;4.6;0;4.9;0;;;;;;;3.6;0;4.4;0;6.5;1;;;;;5.1;0;;;;
BISVIV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;16.5;0;3.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.5;0;;;;;;;;;;;;;;;;;;;;;4.1;0;;;;;;;;;;;5.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;0;2.1;0;3.3;0;3.8;0;;;;;;;4;0;2.9;0;6.8;1;;;;;6;0;;;;
BISVIV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.8;0;;;;;;;;;;;;;6.8;0;8.8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.4;1;;;;;;;;;;;;;;;;;;;;;8.9;1;;;;;;;;;;;4.9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7;0;7;0;3.9;0;2.2;0;;;;;;;6.3;1;3.5;1;5.1;0;;;;;4.3;0;;;;
SOLVIR;10.1;0;5;0;;;;;;;;;;;7;0;11.2;0;12;0;9;0;5.6;0;6;0;8;0;;;;;;;9.5;0;19.6;1;6.6;0;10;1;;;;;10.5;0;;;6.3;0;6;0;11.1;0;;;;;7.3;0;5.6;0;4.2;0;7.4;0;;;4.5;0;19;0;11;0;;;;;13.6;0;9;0;;;;;;;10.7;0;7.2;0;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.5;0;;;;;;;;;;;;;;;;;9;0;;;7.5;0;;;;;;;;;;;;;;;;;;;7.2;0;13;0;;;;;;;;;;;;;6.5;0;12;0;;;;;;;;;;;7;0;11.8;0;4.7;0;7.2;0;;;4.5;0;5;0;7.8;0;;;4.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.6;0;;;4.2;0;5.8;0;4.2;0;8.1;0;;;;;;;9.2;0;8.4;0;6.9;0;;;;;3.5;0;3.6;0;;;3.5;0;6.9;0;6.6;0;3.6;0;;;;
SOLVIR;8;0;15.3;0;;;;;;;;;;;10.1;0;10;0;;;8;0;8.5;0;11.8;0;7;0;;;;;;;9;0;8.4;0;7.1;0;8.9;0;;;;;20.5;1;;;11.5;0;8;0;12.5;1;;;;;8.6;0;9.7;0;4.5;0;7.1;0;;;7.3;0;17.5;0;8.5;0;;;;;18;1;8.7;0;;;;;;;8.5;0;11;0;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0;;;;;;;;;;;;;;;;;4;0;;;;;;;;;;;;;;;;;;;;;;;7.4;0;;;;;;;;;;;;;;;9.2;0;15.5;0;;;;;;;;;;;2.7;0;5;0;9.6;0;6.3;0;;;4.7;0;4.2;0;6;0;;;4.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;0;;;3.9;0;6.5;0;4.9;0;6.6;0;;;;;;;6.4;0;7.9;0;5.1;0;;;;;2.9;0;5.7;0;;;2.2;0;8.5;0;6.8;0;3.5;0;;;;
