plot;a1;;a2;;a3;;a4;;a5;;a6;;a7;;a8;;a9;;a10;;a15;;a14;;a13;;a12;;a11;;a16;;a17;;a18;;a19;;a20;;a25;;a24;;a23;;a22;;a21;;b1;;b2;;b3;;b4;;b5;;b10;;b9;;b8;;b7;;b6;;b11;;b12;;b13;;b14;;b15;;b20;;b19;;b18;;b17;;b16;;b21;;b22;;b23;;b24;;b25;;c1;;c2;;c3;;c4;;c5;;c10;;c9;;c8;;c7;;c6;;c11;;c12;;c13;;c14;;c15;;c20;;c19;;c18;;c17;;c16;;c21;;c22;;c23;;c24;;c25;;d1;;d2;;d3;;d4;;d5;;d10;;d9;;d8;;d7;;d6;;d11;;d12;;d13;;d14;;d15;;d20;;d19;;d18;;d17;;d16;;d21;;d22;;d23;;d24;;d25;;e1;;e2;;e3;;e4;;e5;;e10;;e9;;e8;;e7;;e6;;e11;;e12;;e13;;e14;;e15;;e20;;e19;;e18;;e17;;e16;;e21;;e22;;e23;;e24;;e25;;f1;;f2;;f3;;f4;;f5;;f10;;f9;;f8;;f7;;f6;;f11;;f12;;f13;;f14;;f15;;f20;;f19;;f18;;f17;;f16;;f21;;f22;;f23;;f24;;f25;
SOLVIR;12.5;0;18.6;0;;;;;;;;;;;6.5;0;16;0;;;14.2;0;6.6;0;7.4;0;12;0;;;;;;;7.1;0;8.2;0;7;0;4.8;0;;;;;;;;;8.7;0;;;23.7;1;;;;;5.5;0;6.1;0;3.5;0;7.2;0;;;10.2;0;;;;;;;;;11.6;0;16.5;0;;;;;;;6.4;0;11.3;0;10.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.5;0;;;;;;;;;;;;;;;;;14.5;0;;;;;;;;;;;5.1;0;4.6;0;9.5;0;5.2;0;;;1.9;0;5.8;0;4.5;0;;;8.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1;0;5.2;0;8.5;0;5.1;0;;;;;;;5.8;0;9.6;0;9.2;0;;;;;2.5;0;5.8;0;;;4.8;0;7.8;0;4.2;0;5.5;0;;;;
SOLVIR;11.2;0;5.5;0;;;;;;;;;;;12.7;0;11.5;0;;;11.1;0;10.4;0;7.6;0;13.8;0;;;;;;;;;14.2;0;4.2;0;10.5;0;;;;;;;;;;;;;6.6;0;;;;;7.7;0;5;0;4.6;0;6.1;0;;;25;1;;;;;;;;;8.5;0;7.2;0;;;;;;;9;0;9.5;0;6.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.9;0;;;;;;;;;;;;;;;;;10.3;0;;;;;;;;;;;6.5;0;4.7;0;6.1;0;6.8;0;;;7.9;0;4.7;0;9.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.8;0;10.4;0;;;;;;;;;6.6;0;6.2;0;5.8;0;;;;;2.6;0;5.7;0;;;6.2;0;13;0;3.6;0;12.5;0;;;;
VACMYR;15.5;1;18.6;1;10.2;0;13.1;1;12.4;1;12.2;1;10.4;0;;;14;1;9.5;0;16.5;1;12;0;8.4;1;12.1;0;12;0;5.3;0;14.5;1;13.1;1;12.2;1;8.2;0;9.2;0;7.5;0;14.4;1;22.6;1;11.6;0;7.5;0;16.2;1;9.5;0;14.4;1;7.4;0;8.4;0;12.5;0;13;1;12;0;15.6;1;14.8;0;11.2;0;17.6;0;;;;;;;;;11.6;0;11;1;13.4;0;7.2;0;8.5;0;12.4;0;11.2;1;17;1;4.9;0;6.1;1;15;0;7.7;0;12.4;1;11;0;5;0;8;0;7.2;0;8.5;0;17;1;12;0;11.2;0;13.2;1;11.2;1;14;1;12.3;0;6.2;0;9;0;16;0;13.6;1;7.9;0;11;1;11.4;1;10.3;1;;;;;12.5;1;15;0;7.9;0;15.3;1;12.2;0;8.2;0;11.5;0;14;0;14;1;14.9;1;11.3;1;13.7;1;8.5;0;5.1;0;;;8.6;0;9.5;0;14.3;0;7.5;0;5.9;0;9.8;0;13.5;0;8.6;0;8.4;1;11.9;1;11.6;0;12.3;0;9.2;1;4.5;0;6.7;0;11.2;1;9.1;0;7;0;11.9;0;6.2;0;6.2;0;;;;;;;;;;;6.5;1;;;;;;;;;;;3.2;0;7.5;1;7.7;1;17.5;1;9.2;0;5.6;1;8.4;1;7.5;1;13.8;1;17;1;11.2;1;;;11.5;0;8.1;0;9.6;1;11.6;1;11.7;0;7.3;1;9.9;1;;;;;15.2;1;8;0;9.8;0;9.8;0;8.5;1
VACMYR;13.5;1;12.7;1;;;11;1;9.3;0;16.5;1;5.6;0;;;14.8;1;11;1;13.2;1;9;0;9.3;0;14.3;1;12.3;1;6;0;15.5;1;15.3;0;18.3;0;8.1;0;9.5;0;9.9;1;12.6;1;17.5;1;6.2;0;8.6;0;17.5;1;10.5;1;7.8;0;7.8;0;15.3;0;15.3;0;9.4;0;10.8;1;13.1;1;12;1;12.1;1;15.4;1;;;;;;;;;10.3;0;10.3;1;11.2;0;8.9;0;13;1;15.5;1;10.8;0;14.5;0;9.8;0;7.3;1;9.5;0;9.1;0;10.5;0;13.3;0;7.3;0;8.3;0;11.5;1;7.4;1;10.4;0;13.5;1;13.5;1;13.1;1;10.4;0;11.4;0;15.5;1;8.5;1;11.5;1;12.5;1;12.4;1;8.1;1;11.9;1;16;1;8.2;0;;;;;8.5;9;14;0;10.7;0;14.5;1;14;1;6.1;0;9.2;1;7.1;0;11.1;1;15.6;1;8.8;1;13;1;11;0;5.2;0;;;9.2;1;8.2;0;13.5;0;6.7;0;6.2;0;9.3;0;10.7;1;12.5;0;6;0;12.5;1;11.2;0;6.3;0;8.1;1;4.2;0;6.2;0;8.9;0;10.4;0;5.8;0;8.5;0;6.2;0;7.5;1;;;;;;;;;;;5.4;0;;;;;;;;;;;3.4;0;5.6;0;7.8;0;12;1;7.2;1;5.5;1;6.9;1;6.9;0;8;1;12;1;10.3;1;;;8.6;0;5.6;0;14.7;1;7.5;0;8.8;0;7;1;8.4;0;;;;;9.6;1;7.8;0;4.3;0;11.5;1;6.2;0
VACMYR;11.3;1;23.5;1;;;10.3;0;8.8;0;15.2;1;6.2;0;;;12.3;1;11.2;1;18.2;1;11;1;13.5;1;9.5;0;13.2;1;4.8;0;14.2;1;11.5;0;14;0;10.9;0;10.1;0;10.6;0;14.7;1;13;1;14.1;1;11.8;0;15.3;1;11.4;1;8.1;1;8.3;0;11.2;0;12.1;0;17.5;1;16.5;1;10.3;0;15.4;1;14.8;1;12.8;0;;;;;;;;;12.5;1;11.6;1;16.5;0;12;0;12.2;1;13;1;10.4;1;12.5;1;10.6;0;10.3;1;10.1;0;7.9;1;11.2;0;11.5;0;11;1;10.4;0;9.3;1;9.5;1;13;0;17;1;15.5;1;16;0;10.4;0;12.5;1;19;1;7;0;10.8;1;11.2;0;8.5;0;11;0;13.3;1;7.8;0;7.4;1;;;;;15;1;10.4;1;7.5;0;9.4;1;9.2;0;13.9;0;17.4;1;15.2;1;7.7;0;10.3;0;8.5;0;12.7;1;5.9;0;6.3;0;;;7;0;8.4;0;19.5;0;8.5;1;5.5;0;7.1;0;11.6;0;7.4;0;10.8;0;9.7;0;13.3;1;7.5;1;7.6;0;5.6;0;8.2;0;10.6;0;6.8;0;5;0;9.2;0;4.8;0;7.5;0;;;;;;;;;;;6.2;0;;;;;;;;;;;2.9;0;8.2;1;4.5;0;12.3;1;7;0;3.5;0;6.2;1;5.7;1;6.6;1;14.6;1;7.5;0;;;8.2;0;3.1;0;8.9;1;6;0;12.6;0;5.2;1;8.1;0;;;;;9.5;1;4.8;0;5.6;0;14.5;0;5.1;0
VACMYR;9;1;18;0;;;9.6;0;13.5;0;10.1;1;10.1;0;;;10;0;9.5;0;17;1;8.2;1;9;0;11.2;0;11.6;0;6.4;1;17.5;0;9.2;0;16.2;1;7.3;0;15;1;10.6;0;10.8;0;13.4;1;8.5;0;14.5;1;14.2;1;9.7;1;10.2;0;4;0;12.8;0;12.3;0;11.6;0;12.2;0;17.2;1;10;0;13.3;0;9.5;0;;;;;;;;;8.1;0;6.3;0;19.4;1;15.9;1;;;11.5;0;13;0;11.4;0;6;0;7.2;0;6.4;1;9.1;0;9.3;0;16;1;12.2;1;9.5;0;14.5;0;11;1;12.4;0;16.3;1;17.3;1;11.5;0;8.6;0;9.8;1;10.5;0;7.6;1;8.6;0;8.4;0;13;1;7.5;1;8.4;0;11.6;0;9;1;;;;;11.3;1;17.6;1;9.2;1;8.2;0;10.7;0;9.6;0;11.5;1;9.8;1;9.2;0;15;0;10;0;9.5;0;6.2;1;8.6;0;;;7.3;0;8.9;1;10;1;9.3;0;5.3;0;13;0;9;1;4.2;0;10.1;1;7.8;0;9.6;0;9.2;0;5.5;0;6.3;0;5.1;0;8.1;0;6.9;0;6.2;1;9.2;1;8.5;1;6.4;0;;;;;;;;;;;5;0;;;;;;;;;;;2.8;0;5.4;0;5.9;0;15.5;1;7.1;1;7.6;0;6.2;0;7.6;1;6.9;1;14.8;1;7.5;0;;;11.6;1;3.5;0;9.6;1;9.3;0;12.4;0;8.2;0;4.2;0;;;;;14.5;0;5.9;0;9.1;1;8.3;0;4.1;0
VACVIT;6.2;0;5.1;0;9.6;0;4;0;5.5;0;8;0;7.1;0;6.4;0;9;0;5.5;0;8.2;0;6.5;0;3.9;0;4.6;0;6.2;0;5.2;0;7.1;0;4.6;0;7.5;0;5.9;0;3.3;0;5.4;0;3.5;0;10.2;0;6.5;0;10;0;8;0;6.3;0;4.8;0;4.9;0;8.8;0;12.2;0;7.8;0;4;0;8;0;7.5;0;12.2;0;11;0;;;;;;;8.5;1;10.8;0;6.7;0;12.6;0;8.2;0;5.5;0;5.5;0;4.5;0;4.4;0;4;0;3.4;0;5.2;0;5.5;0;7.6;0;7.6;0;3.9;0;3.6;0;3.6;0;3.6;0;3.6;0;7.3;0;2.5;0;6;0;7.8;0;9.5;0;4.5;0;4.2;0;4.4;0;;;5.5;0;4.1;0;4.2;0;6.6;0;5.4;0;8.5;0;5.5;0;9;0;6.8;0;7.7;0;4;0;4.5;0;4.2;0;3;0;5.6;0;6.1;0;9.8;0;;;;;4.9;0;5.1;0;3.6;0;4.2;1;6.1;0;8.5;0;4.1;0;3.4;0;5;0;3.2;0;5.5;0;5.1;0;4.5;0;4.8;0;2.7;1;5.4;0;3;0;3.8;1;4.6;0;5.2;0;2.3;0;3.1;0;5.1;0;4.1;1;3.5;1;7.2;0;4.2;0;2.1;0;2.5;0;4.1;0;3.6;0;2.5;1;2.1;0;3;0;2.5;0;3.1;0;4.6;0;5.3;0;4.6;0;5.9;1;;;4.2;0;4.8;0;5.6;0;5.7;1;5;0;;;;;;;4.6;0;4.2;0;5;0;4.1;0;;;;;;;5.9;0;6.1;0;;;8.7;0;3.2;0
VACVIT;5.3;0;4.7;0;6.2;0;5.6;0;6.7;0;4.6;0;8.2;0;4.2;0;10.6;0;8;0;10.5;0;7.2;1;5;0;8.2;0;4.5;0;6.3;0;7.4;0;4.7;0;6.6;0;7.7;0;4.6;0;4.6;0;6.7;0;8.8;0;8.5;0;7.2;0;9;0;7;0;5.3;0;2.7;0;12.2;0;7.9;0;6.6;1;6.4;0;7.5;0;7;0;12.4;0;6.8;0;;;;;;;8.6;0;8.2;0;6.8;0;8.2;0;9.6;0;8.2;0;11.7;0;3;0;5;0;1.6;0;2.7;0;6.4;0;4.6;0;8.5;0;8.5;0;8;0;3;0;4;0;4;0;7.1;0;7;0;7;0;6.2;0;5;0;3.2;0;8.6;0;4.4;0;6.1;0;;;8.6;0;4;0;5;0;4.8;0;3.3;0;5.6;0;5.4;0;5.2;1;4.6;0;3.6;0;4.4;0;2.6;0;3.1;0;5.7;0;4;0;3.6;0;9.5;0;;;;;4.6;0;4.7;0;3.5;0;2.7;0;6.8;0;8.2;0;2.6;0;2.5;0;6.3;0;4.1;0;3.7;0;4.6;0;2.6;0;5.4;0;3.8;1;4.8;1;2.7;;4.7;0;5.2;0;5.3;0;4.4;1;4.1;0;4.6;0;4.4;0;4.2;0;3.2;0;3.1;0;1.9;1;2.1;0;4.4;0;3.1;0;2.4;0;1.1;0;1.5;0;1.7;0;4.8;0;4.2;0;4.4;0;11.4;0;5.8;1;;;2.5;1;5.5;0;4.6;0;6.9;0;3.6;0;;;;;;;2.5;0;3.3;0;8.6;0;3.8;0;;;;;;;4.7;0;4.2;0;;;11;0;2.9;0
VACVIT;5;0;5.9;0;6.8;1;5.6;0;5.8;0;5.6;0;5.6;0;6;0;9.2;0;8.6;0;10.5;0;4.5;0;8.4;0;11;1;7.5;0;8.2;1;11.5;1;6.3;0;8.7;0;6.1;0;5.4;0;6.2;0;8.5;0;7.5;1;6;0;6.2;0;8.2;0;8;0;6.9;0;3.2;0;8.6;0;7.2;0;5.1;0;4.2;0;7.8;0;11;1;8.8;0;7.4;0;;;;;;;6.8;0;7.5;0;8;0;6.9;0;5.6;0;7;0;7.8;0;5.2;0;5;0;4.6;0;1.9;0;3.4;0;2.7;0;6;0;10.2;0;7;0;3.4;0;7.9;0;3.2;0;4;0;8.8;0;6.6;0;5.3;0;5.4;0;5;0;4.8;0;4;0;5.5;0;;;9;0;4.2;1;2.9;0;2.5;0;4.8;0;8.7;0;5.1;0;6.4;1;6.6;0;4;0;5.8;1;3.3;0;6.1;0;7.5;0;4.3;0;3.4;0;7.6;0;;;;;5.4;0;3.8;0;4.5;0;3.7;0;4.9;0;5;0;5.7;0;2.7;0;7.8;0;5;0;3;0;2.9;0;3.9;0;6.6;0;3.2;0;5.1;0;2.8;0;3.1;0;3.6;0;5.9;0;3.9;0;2.2;0;4.2;0;2.8;1;3.3;1;4.1;0;3;0;3.9;0;2.2;0;3.6;0;4.4;0;2.9;0;1.6;0;3.3;0;3.1;0;5.7;0;4.6;0;3.2;0;7.8;0;4.8;0;;;5.3;0;4.6;0;5.2;0;8.2;0;4.4;0;;;;;;;4.4;0;4.1;0;8.2;0;4.9;0;;;;;;;7.6;0;2.5;0;;;4.2;0;3.6;0
VACVIT;6.4;0;5.5;0;10.5;0;4;0;9.4;0;5.8;0;4.5;0;9.2;0;14;0;4.2;0;8.5;0;8.2;1;5.4;0;5.7;0;7.8;0;4.5;0;8.2;0;7.5;0;7.5;0;5.2;0;6.8;0;5.4;0;6.4;0;5.6;1;6.5;2;6.1;0;6.3;0;8.1;0;3.1;0;4.9;0;8.6;0;5.7;0;7.2;0;6.6;0;7.9;0;10;0;8.6;0;6.2;0;;;;;;;6.4;0;5.9;0;7.8;0;8.5;0;3.5;0;4.5;0;8.5;0;5.4;0;;;3.9;0;2.8;0;5.8;0;6.5;0;3.1;0;4.4;0;6.2;0;2.7;0;5.3;0;2.8;0;6.4;0;8.5;0;6.4;0;4.3;0;4.6;0;6.7;0;3.1;0;5.4;0;5.4;0;;;12.8;0;4.5;0;7.8;0;5.1;0;3.5;0;5.9;0;6;0;3.9;0;5.9;0;5.4;0;5.6;0;2.4;0;4.6;0;7.2;0;8.1;0;4.1;0;8.2;0;;;;;3.5;0;3.6;0;3.2;0;2.9;0;3.2;0;8.3;0;4.8;0;4.5;0;5.5;0;3.6;0;4.2;0;7.2;0;3.2;0;6;1;6.1;0;4.8;1;3.1;;3.2;0;2.8;0;6.6;1;4.6;1;2.6;0;5.2;0;4.5;0;3.2;0;5.9;0;2.1;0;3.8;0;1.6;0;3;0;5.8;0;2.3;0;2.5;0;3.1;0;2.6;0;3.5;0;4.6;0;3;0;6.9;0;4.5;0;;;5.1;0;6.2;0;3.1;0;4.1;0;4.2;0;;;;;;;5.8;0;7.2;0;9.5;1;5.2;0;;;;;;;5.5;0;4.5;0;;;6.8;0;6.2;0
VACULI;;;;;8.5;1;;;7.2;0;;;;;7.3;0;;;;;13;0;17.3;0;8.1;1;;;;;;;;;;;;;6.1;0;;;;;;;;;;;;;11.5;1;;;;;;;;;;;;;3.7;0;;;13;0;;;;;;;;;;;15.5;1;;;;;20.2;1;13.7;0;10.5;0;14;1;;;;;;;;;9;0;;;;;;;;;;;;;;;13.5;0;;;;;;;;;;;;;;;16.5;0;5.2;0;;;;;7.6;0;8.3;0;;;;;;;24;1;12.8;1;;;;;;;8;1;14.2;0;7.6;0;13.6;0;15;0;15;1;;;;;;;;;3.9;0;11;0;17;0;7;0;;;;;;;;;11.5;0;;;;;11;0;;;;;;;9.9;1;12.9;1;9.4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;;;8.1;0;;;;;;;;;;;;;;;7.5;0;;;;;;;;;;;11.5;1;11.3;1
VACULI;;;;;10.6;0;;;6.8;0;;;;;8.2;0;;;;;9.5;0;14.8;0;19.2;1;;;;;;;;;;;;;11;1;;;;;;;;;;;;;10;0;;;;;;;;;;;;;12.2;0;;;14.5;0;;;;;;;;;;;11.6;0;;;;;18;0;21;0;;;13.5;1;;;;;;;;;7.2;0;;;;;;;;;;;;;;;13;1;;;;;;;;;;;;;;;14;1;8.1;0;;;;;8.5;0;9.8;0;;;;;;;22;1;14;1;;;;;;;8.2;0;17;0;7.9;0;11.8;0;14.3;1;19;1;;;;;;;;;5.2;0;8;0;13;0;12;0;;;;;;;;;6;0;;;;;9.7;1;;;;;;;8.3;1;10.3;1;7.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.5;0;;;5.7;0;;;;;;;;;;;;;;;5.4;0;;;;;;;;;;;13.5;1;9.2;1
VACULI;;;;;14;0;;;11.3;0;;;;;14.5;0;;;;;13.3;0;18;1;11.7;0;;;;;;;;;;;;;8.2;0;;;;;;;;;;;;;11.5;0;;;;;;;;;;;;;11.5;0;;;14.4;0;;;;;;;;;;;12;0;;;;;14.6;0;7.5;0;;;17;0;;;;;;;;;5.8;0;;;;;;;;;;;;;;;15;1;;;;;;;;;;;;;;;12.3;0;8;0;;;;;5;1;7.6;0;;;;;;;15.5;1;13.8;1;;;;;;;5.4;0;16;1;9.8;0;20.5;0;25;0;15.5;1;;;;;;;;;1.9;0;12.5;0;11;0;9;1;;;;;;;;;12;0;;;;;8;0;;;;;;;11.5;1;6.8;0;9.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.8;0;;;6.3;0;;;;;;;;;;;;;;;4.1;0;;;;;;;;;;;8.4;0;8;0
VACULI;;;;;13.5;0;;;7.2;0;;;;;11.7;0;;;;;8.8;0;10;0;11;0;;;;;;;;;;;;;8.5;0;;;;;;;;;;;;;9.8;0;;;;;;;;;;;;;8.5;0;;;15.2;0;;;;;;;;;;;7.4;0;;;;;26;0;8.2;0;;;7.4;1;;;;;;;;;5.9;1;;;;;;;;;;;;;;;11.5;0;;;;;;;;;;;;;;;13.5;1;7.8;0;;;;;5.5;1;11.5;0;;;;;;;10.5;1;9.2;0;;;;;;;6;1;21;1;9.8;0;11.5;0;15.5;1;14.5;0;;;;;;;;;3.6;0;8.5;0;13.5;0;;;;;;;;;;;11;1;;;;;11.5;0;;;;;;;11.4;0;13.6;1;7.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.9;1;;;11;0;;;;;;;;;;;;;;;9.4;0;;;;;;;;;;;9.5;0;12.7;1
